"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01023","0","10","70","0","2023","4","",361,3337,3327,3339,53051522,2709252,35131,1224,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.6,-21,-0.6,-55,-1.6,-134,-3.9,2074791,4.1,-24254,-0.9,-6220,-15.0,72,6.2
"01023","1","10","71","0","2023","4","",7,27,23,25,323660,0,0,996,"",3.78,0.42,0.36,0.39,0.24,0.00,0.00,0.61,"",0,0.0,1,3.8,-4,-14.8,-2,-7.4,6554,2.1,0,0.0,0,0.0,81,8.9
"01023","2","10","71","0","2023","4","",11,70,67,69,763998,0,0,856,"",5.05,0.68,0.66,0.67,0.45,0.00,0.00,0.68,"",0,0.0,13,22.8,10,17.5,4,6.2,210871,38.1,0,0.0,0,0.0,143,20.1
"01023","3","10","71","0","2023","4","",22,344,348,346,3553968,9622,43,790,"",4.25,1.08,1.10,1.09,0.82,0.16,0.22,0.75,"",-1,-4.3,-16,-4.4,-14,-3.9,-13,-3.6,-52766,-1.5,-1921,-16.6,-177,-80.5,20,2.6
"01023","5","10","71","0","2023","4","",321,2896,2889,2899,48409896,2699630,35088,1286,"",0.91,1.01,1.02,1.02,1.06,1.03,1.01,1.04,"",-5,-1.5,-19,-0.7,-47,-1.6,-123,-4.1,1910132,4.1,-22333,-0.8,-6043,-14.7,77,6.4
"01025","0","10","70","0","2023","4","",761,8160,8186,8221,104915071,5605817,45864,986,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.7,20,0.2,-57,-0.7,-83,-1.0,4106554,4.1,-461403,-7.6,-36003,-44.0,44,4.7
"01025","1","10","71","0","2023","4","",13,63,68,69,1073269,0,0,1238,"",3.33,0.40,0.43,0.44,0.40,0.00,0.00,0.94,"",0,0.0,0,0.0,5,7.9,2,3.0,-8434,-0.8,0,0.0,0,0.0,-55,-4.3
"01025","2","10","71","0","2023","4","",16,318,319,317,5256132,0,0,1271,"",3.49,1.27,1.27,1.26,1.58,0.00,0.00,1.25,"",0,0.0,6,1.9,2,0.6,-8,-2.5,396265,8.2,0,0.0,0,0.0,95,8.1
"01025","3","10","71","0","2023","4","",38,1298,1303,1306,15006118,151827,425,886,"",3.48,1.67,1.67,1.67,1.74,1.25,1.64,1.04,"",1,2.7,-32,-2.4,-29,-2.2,-8,-0.6,272067,1.8,32521,27.3,-410,-49.1,31,3.6
"01025","5","10","71","0","2023","4","",694,6481,6496,6529,83579552,5453990,45439,989,"",0.94,0.93,0.93,0.93,0.93,1.01,1.00,1.00,"",4,0.6,46,0.7,-35,-0.5,-69,-1.0,3446656,4.3,-493924,-8.3,-35593,-43.9,44,4.7
"01027","0","10","70","0","2023","4","",251,4248,4237,4260,45385453,3636971,20946,822,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,4.6,-28,-0.7,-17,-0.4,26,0.6,-23817,-0.1,-195749,-5.1,-22523,-51.8,1,0.1
"01027","1","10","71","0","2023","4","",6,36,38,42,587887,0,0,1170,"",4.65,0.44,0.47,0.51,0.51,0.00,0.00,1.07,"",0,0.0,-5,-12.2,-4,-9.5,-1,-2.3,-35631,-5.7,0,0.0,0,0.0,28,2.5
"01027","2","10","71","0","2023","4","",10,56,56,54,767239,0,0,1067,"",6.61,0.43,0.43,0.41,0.53,0.00,0.00,1.25,"",1,11.1,3,5.7,3,5.7,1,1.9,136523,21.6,0,0.0,0,0.0,152,16.6
"01027","3","10","71","0","2023","4","",17,828,840,828,8118260,49287,98,751,"",4.73,2.05,2.08,2.04,2.18,0.62,0.83,1.06,"",0,0.0,1,0.1,15,1.8,0,0.0,165919,2.1,11692,31.1,-165,-62.7,11,1.5
"01027","5","10","71","0","2023","4","",218,3328,3303,3336,35912067,3587684,20848,831,"",0.89,0.92,0.91,0.92,0.92,1.02,1.00,1.00,"",10,4.8,-27,-0.8,-31,-0.9,26,0.8,-290628,-0.8,-207441,-5.5,-22358,-51.7,-5,-0.6
"01029","0","10","70","0","2023","4","",286,2696,2687,2673,38834357,1801785,13524,1112,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.7,196,7.8,270,11.2,145,5.7,3177225,8.9,-93950,-5.0,-14195,-51.2,7,0.6
"01029","1","10","71","0","2023","4","",8,49,53,54,973117,0,0,1440,"",5.45,0.95,1.03,1.05,0.98,0.00,0.00,0.97,"",0,0.0,-1,-2.0,6,12.8,9,20.0,137203,16.4,0,0.0,0,0.0,82,6.0
"01029","2","10","71","0","2023","4","",11,137,137,113,2079180,0,0,1240,"",6.38,1.66,1.66,1.38,1.68,0.00,0.00,1.08,"",0,0.0,2,1.5,2,1.5,-21,-15.7,277358,15.4,0,0.0,0,0.0,211,20.5
"01029","3","10","71","0","2023","4","",30,607,598,605,6904196,107827,215,880,"",7.32,2.37,2.33,2.38,2.16,2.76,2.82,0.92,"",0,0.0,21,3.6,7,1.2,17,2.9,321444,4.9,14717,15.8,-437,-67.0,19,2.2
"01029","5","10","71","0","2023","4","",237,1903,1899,1901,28877864,1693958,13309,1169,"",0.85,0.83,0.83,0.83,0.86,0.97,0.99,1.04,"",-2,-0.8,174,10.1,255,15.5,140,8.0,2441220,9.2,-108667,-6.0,-13758,-50.8,-19,-1.6
"01031","0","10","70","0","2023","4","",1365,17104,17177,17197,196168708,14704506,81436,879,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",92,7.2,389,2.3,455,2.7,426,2.5,9229110,4.9,-1448087,-9.0,-115202,-58.6,20,2.3
"01031","1","10","71","0","2023","4","",15,260,266,264,5174675,0,0,1512,"",2.14,0.79,0.81,0.80,1.03,0.00,0.00,1.29,"",-1,-6.2,7,2.8,11,4.3,9,3.5,916677,21.5,0,0.0,0,0.0,224,17.4
"01031","2","10","71","0","2023","4","",22,519,515,500,6696497,0,0,1007,"",2.67,0.99,0.98,0.95,1.07,0.00,0.00,1.11,"",0,0.0,32,6.6,28,5.7,14,2.9,569279,9.3,0,0.0,0,0.0,39,4.0
"01031","3","10","71","0","2023","4","",45,2028,2038,2031,24481276,193930,912,927,"",2.30,1.25,1.24,1.24,1.52,0.61,1.99,1.22,"",2,4.7,73,3.7,61,3.1,54,2.7,1398918,6.1,87004,81.4,15,1.7,26,2.9
"01031","5","10","71","0","2023","4","",1283,14297,14358,14402,159816260,14510576,80524,857,"",0.96,0.98,0.98,0.98,0.95,1.02,1.00,0.97,"",91,7.6,277,2.0,355,2.5,349,2.5,6344236,4.1,-1535091,-9.6,-115217,-58.9,15,1.8
"01033","0","10","70","0","2023","4","",1561,24244,24017,24041,361302360,20072734,187731,1153,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,3.8,-145,-0.6,-480,-2.0,-585,-2.4,6531790,1.8,-1890794,-8.6,-121357,-39.3,39,3.5
"01033","1","10","71","0","2023","4","",15,713,713,716,31520165,0,0,3396,"",1.87,1.53,1.55,1.55,3.42,0.00,0.00,2.22,"",0,0.0,46,6.9,41,6.1,35,5.1,5614476,21.7,0,0.0,0,0.0,436,14.7
"01033","2","10","71","0","2023","4","",16,698,699,697,8807607,0,0,971,"",1.70,0.94,0.95,0.94,0.77,0.00,0.00,0.81,"",-1,-5.9,4,0.6,5,0.7,6,0.9,454204,5.4,0,0.0,0,0.0,44,4.7
"01033","3","10","71","0","2023","4","",49,3401,3404,3416,49861342,101959,359,1126,"",2.19,1.48,1.49,1.49,1.68,0.23,0.34,1.13,"",0,0.0,23,0.7,27,0.8,33,1.0,3470523,7.5,-55270,-35.2,-1016,-73.9,70,6.6
"01033","5","10","71","0","2023","4","",1481,19432,19201,19212,271113246,19970775,187372,1082,"",0.97,0.94,0.94,0.93,0.87,1.03,1.01,0.93,"",58,4.1,-218,-1.1,-553,-2.8,-659,-3.3,-3007413,-1.1,-1835524,-8.4,-120341,-39.1,15,1.4
"01035","0","10","70","0","2023","4","",294,3276,3315,3318,40285264,2674796,19371,938,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,6.5,41,1.3,38,1.2,60,1.8,2833631,7.6,-20893,-0.8,-14675,-43.1,53,6.0
"01035","1","10","71","0","2023","4","",5,24,25,27,351608,0,0,1068,"",3.31,0.38,0.39,0.42,0.34,0.00,0.00,0.86,"",0,0.0,0,0.0,1,4.2,-3,-10.0,23856,7.3,0,0.0,0,0.0,98,10.1
"01035","2","10","71","0","2023","4","",12,190,195,193,2721163,0,0,1086,"",6.77,1.89,1.91,1.89,2.13,0.00,0.00,1.12,"",0,0.0,15,8.6,24,14.0,24,14.2,356014,15.1,0,0.0,0,0.0,26,2.5
"01035","3","10","71","0","2023","4","",22,487,479,476,5487073,16684,34,878,"",5.22,1.56,1.51,1.51,1.66,0.29,0.31,1.08,"",0,0.0,-3,-0.6,-8,-1.6,-7,-1.4,346390,6.7,3181,23.6,-61,-64.2,65,8.0
"01035","5","10","71","0","2023","4","",255,2575,2616,2622,31725420,2658112,19337,937,"",0.89,0.92,0.92,0.92,0.92,1.03,1.01,0.99,"",18,7.6,29,1.1,21,0.8,46,1.8,2107371,7.1,-24074,-0.9,-14614,-43.0,51,5.8
"01037","0","10","70","0","2023","4","",160,1511,1491,1500,21667184,816624,7977,1111,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.9,-19,-1.2,-43,-2.8,-46,-3.0,453499,2.1,-459659,-36.0,-13665,-63.1,49,4.6
"01037","1","10","71","0","2023","4","",6,15,14,13,208781,0,0,1147,"",7.30,0.52,0.49,0.45,0.38,0.00,0.00,0.78,"",0,0.0,-1,-6.2,-1,-6.7,-2,-13.3,-24184,-10.4,0,0.0,0,0.0,-22,-1.9
